Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,...23,Start Year,End Year
TPH (Residual Fuels),Petroleum,ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill,Mixed,0,1890-1976,Contained,Honouliuli,"4,400 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil (depth not specified),West Loch,"Into brackish groundwater, not drinking water source","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",NA,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",126,NA,158.0353114°W 21.3387171°N,NA,1890,1976
Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),Waipahu Incinerator Facility,Waipahu Incinerator Ash Landfill,Mixed,0,1970-1984,Historic,Waipiʻo,1.77 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Shallow Soil (0-3 ft.),West Loch,0.5 mi from West Loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers","site map p.27

",2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",127,NA,158.0018891°W 21.3755239°N,NA,1970,1984
Arsenic,Metals,Waipahu Incinerator Facility,Waipahu Incinerator Ash Landfill,Mixed,0,1970-1984,Historic,Waipiʻo,27.4 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Shallow Soil (0-3 ft.),West Loch,0.5 mi from West Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",NA,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",128,NA,158.0018891°W 21.3755239°N,NA,1970,1984
Cadmium,Metals,Waipahu Incinerator Facility,Waipahu Incinerator Ash Landfill,Mixed,0,1970-1984,Historic,Waipiʻo,29.6 mg/kg,HDOH EAL: 17 mg/kg; C/I: 19 mg/kg,Shallow Soil (0-3 ft.),West Loch,0.5 mi from West Loch,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",NA,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",129,NA,158.0018891°W 21.3755239°N,NA,1970,1984
Lead,Metals,Waipahu Incinerator Facility,Waipahu Incinerator Ash Landfill,Mixed,0,1970-1984,Historic,Waipiʻo,1850 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Shallow Soil (0-3 ft.),West Loch,0.5 mi from West Loch,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",NA,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",130,NA,158.0018891°W 21.3755239°N,NA,1970,1984
TEQ Dioxins,Dioxins,Waipahu Incinerator Facility,Waipahu Incinerator Ash Landfill,Mixed,0,1970-1984,Historic,Waipiʻo,"2,820 ng/kg",HDOH EAL: 240 ng/kg,Shallow Soil (0-3 ft.),West Loch,0.5 mi from West Loch,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",NA,2022,NA,131,NA,158.0018891°W 21.3755239°N,NA,1970,1984
Lead,Metals,ABC Used Auto Parts,Pearl City Towing,Urban,0,2000-Current,Contained,Mānana,"7,180 mg/kg",HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Deep Soil (3+ ft.),Waiawa stream,Waiawa stream borders the property on either side,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","EA reports low risk of exposure, contaminated soil is at a depth that is not of major concern for exposure unless the area is excacvated or undergoes construction.",https://drive.google.com/file/d/1uCc3hWa1ZdcbfxA4S99RqJ4tKQYwne8x/viePearl City Towing location (ID 132).png,1999,"(MFA, 1999) Subsurface Investigation Report, Aloha Used Auto Parts.pdf",132,NA,157.9769767°W 21.3899534°N,NA,2000,2020
TPH (Gasolines),Petroleum,UH Urban Garden Center (now HART),Pipeline leak—POL Pipeline Site ST18A,Agriculture,0,1976-2002,Historic,Mānana,150 mg/kg,HDOH EAL: 100 mg/kg; C/I: 500 mg/kg,Shallow Soil (0-3 ft.),Groundwater (possibly drinking),Storm drain outlet to ditch on property,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Risk of exposure to future residents from excavation of soil,p.47 site map,2018,"(HART, 2018) Phase II ESA: UH Urban Garden Center .pdf",133,NA,158.0018891°W 21.3755239°N,NA,1976,2002
TPH (Residual Fuels),Petroleum,RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,"6,770 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Shallow Soil (0-3 ft.),Groundwater,Groundwater to Waiawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",p.66 site map,2016,"(HART, 2016) Phase II ESA: RHS Lee Property.pdf",134,NA,157.9841211°W 21.3971212°N,NA,1940,2009
TPH (Middle Distillates),Petroleum,RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,"1,770 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Shallow Soil (0-3 ft.),Groundwater,Groundwater to Waiawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",NA,2016,NA,135,NA,157.9841211°W 21.3971212°N,NA,1940,2009
Lead,Metals,RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,434 mg/kg (est.),HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil (depth not specified),Groundwater,Groundwater to Waiawa stream,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",NA,2016,NA,136,NA,157.9841211°W 21.3971212°N,NA,1940,2009
Benzo(a)anthracene,Polycyclic Aromatic Hydrocarbons (PAHs),RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,1.91 mg/kg,HDOH EAL: 1.5mg/kg; C/I: 10 mg/kg,Soil (depth not specified),Groundwater,Groundwater to Waiawa stream,"Chronic exposure to benzo(a)anthracene and other PAHs can lead to diminished immune function, respiratory issues, liver damage, and other systemic effects​, as well as causing genetic mutations that may lead to cancer","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",NA,2016,NA,137,NA,157.9841211°W 21.3971212°N,NA,1940,2009
Benzo(a)pyrene,Polycyclic Aromatic Hydrocarbons (PAHs),RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,1.7 mg/kg,HDOH EAL EAL: 0.15mg/kg; C/I: 2 mg/kg,Soil (depth not specified),Groundwater,Groundwater to Waiawa stream,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",NA,2016,NA,138,NA,157.9841211°W 21.3971212°N,NA,1940,2009
"Dibenzo(a,h)anthracene",Polycyclic Aromatic Hydrocarbons (PAHs),RHS Lee Property (now HART),Equipment and Material Baseyard,Mixed,0,1940s-2009,Historic,Waiawa,0.309 mg/kg (est.),HDOH EAL: 0.15 mg/kg; C/I: 2 mg/kg,Soil (depth not specified),Groundwater,Groundwater to Waiawa stream,"Long Term exposure to DBA assocaited with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health. Mutagenic. Link to cardiovascular disease and stroke","GW contamination pathways: potentially complete with construction workers, ecological receptors",NA,2016,NA,139,NA,157.9841211°W 21.3971212°N,NA,1940,2009
Chlordane,Legacy Pesticides,RHS Lee Property (now HART),Equipment and Material Baseyard; Building Termiticide Treatment,Mixed,0,1940s-1990,Historic,Waiawa,0.15 µg/L,HDOH EAL: 0.004 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues","GW contamination pathways: potentially complete with construction workers, ecological receptors",NA,2016,NA,140,NA,157.9841211°W 21.3971212°N,NA,1940,1990
Dieldrin,Legacy Pesticides,RHS Lee Property (now HART),Equipment and Material Baseyard; Building Termiticide Treatment,Mixed,0,1940s-1990,Historic,Waiawa,0.0025 (est),HDOH EAL: 0.0019 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Short-term exposure can cause symptoms such as headaches, dizziness, nausea, and irritability. Long-term exposure can lead to more severe health issues, including liver damage, neurotoxicity (such as seizures and tremors), and immune system suppression. Sttudies have linked exposure to liver and lung cancer","GW contamination pathways: potentially complete with construction workers, ecological receptors",NA,2016,NA,141,NA,157.9841211°W 21.3971212°N,NA,1940,1990
DDT Compounds,Legacy Pesticides,RHS Lee Property (now HART),Equipment and Material Baseyard; Building Termiticide Treatment,Mixed,0,1940s-1990,Historic,Waiawa,0.009 µg/L,HDOH EAL: 0.001 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"DDD is a breakdown product of DDT. Short-term exposure generally does not result in acute symptoms, but long-term exposure has been linked to liver and kidney damage, endocrine disruption, and reproductive issues. Classified as a probable human carcinogen, with evidence suggesting an increased risk of liver cancer.","GW contamination pathways: potentially complete with construction workers, ecological receptors",NA,2016,NA,142,NA,157.9841211°W 21.3971212°N,NA,1940,1990
Heptachlor epoxide,Legacy Pesticides,RHS Lee Property (now HART),Equipment and Material Baseyard; Building Termiticide Treatment,Mixed,0,1940s-1990,Historic,Waiawa,0.0068 µg/L,HDOH EAL: 0.0036 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Exposure to heptachlor epoxide can cause neurological symptoms such as dizziness, irritability, and convulsions. Long-term exposure has been linked to liver damage, immune system suppression, and an increased risk of liver and adrenal tumors.","GW contamination pathways: potentially complete with construction workers, ecological receptors",NA,2016,NA,143,NA,157.9841211°W 21.3971212°N,NA,1940,1990
