OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
91,125,TPH-Diesel,Hydrocarbon (petroleum),ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill: American Welding Hot Spot,Urban/Residential,1890-1976,"Historic, Contained",Honouliuli,791 mg/kg,HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",125,,158.0353114°W 21.3387171°N ,,-17592396.099,2432338.603
92,126,TPH-Oil,Hydrocarbon (petroleum),ʻEwa Sugar Mill: American Welding Hot Spot,ʻEwa Sugar Mill: American Welding Hot Spot,Urban/Residential,1890-1976,"Historic, Contained",Honouliuli,"4,400 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Soil,West Loch,"Into brackish groundwater, not drinking water source","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Soil cap should've been installed to elimate exposure pathways. Most common pathway is through groundwater to resident pathway, but not deemed significant",,2002,"(DOH, 2002) Contaminated Soil Report, Ewa Mill Site .pdf",126,,158.0353114°W 21.3387171°N ,,-17592454.324,2432332.056
93,127,Polychlorinated Biphenyls (PCBs),Chlorinated Hydrocarbon,Waipahu Incinerator Facility,Waipahu Incinerator Facility,Agricultural,1970-1984,Historic,Waipiʻo,1.77 mg/kg,HDOH EAL: 1.2 mg/kg; C/I: 8.6 mg/kg,Surface Soil,West Loch,0.5 mi from West Loch,"Exposure to PCBs can cause skin conditions like chloracne and eye irritation. Chronic exposure may lead to liver damage, immune system suppression, endocrine disruption, and increased cancer risk. PCBs are classified as probable human carcinogens and can cause neurodevelopmental issues in children.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",site map p.27  ,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",127,,158.0018891°W 21.3755239°N,,-17588689.84,2436712.539
94,128,Arsenic,Heavy Metal ,Waipahu Incinerator Facility,Waipahu Incinerator Facility,Agricultural,1970-1984,Historic,Waipiʻo,27.4 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil,West Loch,0.5 mi from West Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",128,,158.0018891°W 21.3755239°N,,-17588661.997,2436739.479
95,129,Cadmium,Heavy Metal ,Waipahu Incinerator Facility,Waipahu Incinerator Facility,Agricultural,1970-1984,Historic,Waipiʻo,29.6 mg/kg,HDOH EAL: 17 mg/kg; C/I: 19 mg/kg,Surface Soil,West Loch,0.5 mi from West Loch,"Short-term exposure can cause acute symptoms like lung irritation and gastrointestinal distress. Chronic exposure, especially through inhalation or ingestion, can lead to serious health issues such as kidney damage, weakened bones, and lung diseases","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",129,,158.0018891°W 21.3755239°N,,-17588642.515,2436722.707
96,130,Lead,Heavy Metal ,Waipahu Incinerator Facility,Waipahu Incinerator Facility,Agricultural,1970-1984,Historic,Waipiʻo,1850 mg/kg,HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Surface Soil,West Loch,0.5 mi from West Loch,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",,2022,"(CCH, 2022) Draft Final EHMP Waipahu Incinerator Closure .pdf",130,,158.0018891°W 21.3755239°N,,-17588721.928,2436705.948
97,131,TEQ Dioxins,Dioxins/Furans,Waipahu Incinerator Facility,Waipahu Incinerator Facility,Agricultural,1970-1984,Historic,Waipiʻo,"2,820 ng/kg",HDOH EAL: 240 ng/kg,Surface Soil,West Loch,0.5 mi from West Loch,"Exposure to TEQ dioxins can lead to cancer, reproductive and developmental issues, and immune system damage. Short-term exposure can cause skin lesions and altered liver function, while long-term exposure is linked to endocrine disruption and increased risk of certain cancers. Dioxins are highly persistent in the environment and can accumulate in the food chain, posing long-term health risks","Direct exposure to contaminants in the surface soil via dermal contact, ingestion, and inhalation of particulates, has the potential to occur as a result of existing use of the Site as a storage and maintenance area for CCH workers",,2022,,131,,158.0018891°W 21.3755239°N,,-17588687.197,2436735.717
98,132,Lead,Heavy Metal,ABC Used Auto Parts,ABC Used Auto Parts,Urban,NA,"Historic, Contained",Mānana,"7,180 mg/kg",HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil (5.5ft deep),Waiawa stream,Waiawa stream borders the property on either side,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","EA reports low risk of exposure, and that the region capped with asphalt/concrete. However, images show no concrete cap, a junkyard for cars that is right in front of a public bike path ",https://drive.google.com/file/d/1uCc3hWa1ZdcbfxA4S99RqJ4tKQYwne8x/viePearl City Towing location (ID 132).png,1999,"(MFA, 1999) Subsurface Investigation Report, Aloha Used Auto Parts.pdf",132,,157.9769767°W 21.3899534°N ,,-17585915.246,2438426.571
99,133,TPH-Gasoline,Hydrocarbon (petroleum),UH Urban Garden Center (now HART),UH Urban Garden Center (now HART),Agricultural,1976-2002,Historic,Mānana,150 mg/kg,HDOH EAL: 100 mg/kg; C/I: 500 mg/kg,Surface Soil,Groundwater (possibly drinking),Storm drain outlet to ditch on property,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Risk of exposure to future residents from excavation of soil,p.47 site map,2018,"(HART, 2018) Phase II ESA: UH Urban Garden Center .pdf",133,,158.0018891°W 21.3755239°N,,-17585783.406,2439026.788
100,134,TPH-Oil,Hydrocarbon (petroleum),RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,"6,770 mg/kg","HDOH EAL: 500; C/I: 1,000 mg/kg",Surface Soil (0-1 ft bgs),Groundwater,Groundwater to Waiawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",p.66 site map,2016,"(HART, 2016) Phase II ESA: RHS Lee Property.pdf",134,,157.9841211°W 21.3971212°N ,,-17586745.666,2439320.953
101,135,TPH-Diesel,Hydrocarbon (petroleum),RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,"1,770 mg/kg",HDOH EAL: 180 mg/kg; C/I: 210 mg/kg,Surface Soil (0-1 ft bgs),Groundwater,Groundwater to Waiawa stream,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",,2016,,135,,157.9841211°W 21.3971212°N ,,-17586777.165,2439316.38
102,136,Lead,Heavy Metal,RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,434 mg/kg (est.),HDOH EAL: 200 mg/kg; C/I: 800 mg/kg,Soil (0-14 ft bgs),Groundwater,Groundwater to Waiawa stream,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",,2016,,136,,157.9841211°W 21.3971212°N ,,-17586749.73,2439291.993
103,137,Benzo(a)anthracene (mg/kg),Polycyclic aromatic hydrocarbon,RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,1.91 mg/kg,HDOH EAL: 1.5mg/kg; C/I: 10 mg/kg,Soil (0-14 ft bgs),Groundwater,Groundwater to Waiawa stream,"Chronic exposure to benzo(a)anthracene and other PAHs can lead to diminished immune function, respiratory issues, liver damage, and other systemic effects​, as well as causing genetic mutations that may lead to cancer","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",,2016,,137,,157.9841211°W 21.3971212°N ,,-17586729.408,2439288.945
104,138,Benzo(a)pyrene,Polycyclic aromatic hydrocarbon,RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,1.7 mg/kg,HDOH EAL EAL: 0.15mg/kg; C/I: 2 mg/kg,Soil (0-14 ft bgs),Groundwater,Groundwater to Waiawa stream,"Exposure to BaP strongly associated with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health: decreased fertility and fetal abnormalities. Mutagenic. Link to cardiovascular disease and stroke","Potential complete pathway through soil to hypothetical residents, future workers/rail users, recreational users and trespassers",,2016,,138,,157.9841211°W 21.3971212°N ,,-17586726.359,2439309.267
105,139,"Dibenzo(a,h)anthracene",Polycyclic aromatic hydrocarbon,RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,0.309 mg/kg (est.),HDOH EAL: 0.15 mg/kg; C/I: 2 mg/kg ,Soil (0-14 ft bgs),Groundwater,Groundwater to Waiawa stream,"Long Term exposure to DBA assocaited with increased risk of cancer (lung, bladder, skin). Adverse affects on reproductive health. Mutagenic. Link to cardiovascular disease and stroke","GW contamination pathways: potentially complete with construction workers, ecological receptors",,2016,,139,,157.9841211°W 21.3971212°N ,,-17586710.102,2439330.606
106,140,Chlordane,Organochlorine Pesticide,RHS Lee Property (now HART),RHS Lee Property (now HART),Urban and Agricultural,Agriculture: 1940s-1990; 1990s-Undet. Industrial Storage,Historic,Waiawa,0.15 µg/L,HDOH EAL: 0.004 µg/L,Groundwater,Groundwater,Groundwater to Waiawa stream,"Neurotoxicological effects: headaches tremors, seizures, parkinsons disease. Causes liver damage. Increased incidence of liver and lung tumors with prolonged exposure. Affects female fertility, menstrual cycles, birth defects, other endocrine issues. Ingestion causes GI issues","GW contamination pathways: potentially complete with construction workers, ecological receptors",,2016,,140,,157.9841211°W 21.3971212°N ,,-17586741.601,2439351.944
